iter	Logloss
0	0.661740749
1	0.6362836822
2	0.6154055261
3	0.5990749011
4	0.5863264363
5	0.5770639639
6	0.5685296877
7	0.5631848767
8	0.5574822109
9	0.5542018012
10	0.5518373164
11	0.5492085995
12	0.5466665179
13	0.5442560007
14	0.5428095392
15	0.5402563438
16	0.5385607202
17	0.5363994022
18	0.5346971017
19	0.5335105085
20	0.5325262337
21	0.5316634544
22	0.5305596889
23	0.5295908767
24	0.5289168315
25	0.5284495407
26	0.5277876044
27	0.5273106803
28	0.5267193728
29	0.5262955447
30	0.5259975979
31	0.5256256659
32	0.5253560655
33	0.5252371819
34	0.5248266016
35	0.5244339543
36	0.524204877
37	0.5240713348
38	0.5238503891
39	0.5236373007
40	0.5234790521
41	0.5232812772
42	0.5228702958
43	0.5225515578
44	0.522118532
45	0.5218510954
46	0.5216781773
47	0.5214307987
48	0.5212266164
49	0.520800064
50	0.5206294036
51	0.5205130375
52	0.5203590156
53	0.5201235666
54	0.519864632
55	0.5195807093
56	0.5194535791
57	0.5193332249
58	0.519222176
59	0.5190819007
60	0.5189388334
61	0.5187732258
62	0.5186008841
63	0.5182466112
64	0.5180083559
65	0.5177665575
66	0.5174997336
67	0.5173856009
68	0.5171759955
69	0.5168428557
70	0.5166470126
71	0.5164221178
72	0.5162486118
73	0.5160282286
74	0.5159174913
75	0.5158387384
76	0.5155454453
77	0.5153338205
78	0.5151303177
79	0.5149946746
80	0.5148112601
81	0.5146820297
82	0.5145269355
83	0.5143871221
84	0.5142521758
85	0.514156822
86	0.5139616498
87	0.5138941075
88	0.5137876865
89	0.5137628759
90	0.5136456212
91	0.5133439572
92	0.5131372112
93	0.5129409641
94	0.5128343482
95	0.5125710277
96	0.5123906121
97	0.5122795802
98	0.5122318962
99	0.5120511074
