iter	Passed	Remaining
0	47	4733
1	87	4271
2	132	4268
3	176	4234
4	228	4343
5	274	4293
6	333	4430
7	358	4121
8	379	3837
9	406	3660
10	430	3486
11	456	3350
12	482	3226
13	509	3132
14	529	2998
15	552	2901
16	572	2792
17	592	2699
18	612	2612
19	634	2537
20	652	2455
21	684	2428
22	739	2474
23	758	2402
24	777	2332
25	795	2264
26	816	2208
27	842	2167
28	906	2219
29	955	2228
30	1006	2240
31	1059	2251
32	1105	2244
33	1183	2296
34	1225	2275
35	1300	2312
36	1392	2370
37	1414	2307
38	1439	2251
39	1482	2223
40	1529	2200
41	1581	2184
42	1643	2178
43	1689	2150
44	1706	2085
45	1724	2024
46	1743	1965
47	1763	1910
48	1782	1854
49	1800	1800
50	1820	1748
51	1837	1696
52	1876	1664
53	1901	1619
54	1927	1577
55	1959	1539
56	2036	1536
57	2099	1520
58	2166	1505
59	2215	1476
60	2253	1440
61	2296	1407
62	2358	1385
63	2405	1353
64	2456	1322
65	2505	1290
66	2544	1253
67	2587	1217
68	2624	1178
69	2643	1132
70	2661	1087
71	2687	1045
72	2719	1005
73	2744	964
74	2767	922
75	2791	881
76	2839	848
77	2869	809
78	2894	769
79	2924	731
80	2950	692
81	2980	654
82	3024	619
83	3047	580
84	3067	541
85	3088	502
86	3130	467
87	3169	432
88	3200	395
89	3239	359
90	3284	324
91	3313	288
92	3342	251
93	3367	214
94	3397	178
95	3467	144
96	3500	108
97	3519	71
98	3538	35
99	3556	0
